M,sp,A,M_per_m2
0.04327660328146369,acacme,48,8.309107830041028e-6
0.05715656422757273,acaldi,1023,2.338846608192276e-4
0.051602943449256845,acalma,52,1.0733412237445425e-5
0.0767699922418887,ade1tr,143,4.391243556236034e-5
0.07937084583453961,aegipa,40,1.269933533352634e-5
0.07606319315666885,alchco,316,9.614387615002943e-5
0.0817399141369791,alibed,417,1.3634217678048114e-4
0.08064153362824454,allops,111,3.5804840930940576e-5
0.09597601536549082,alsebl,7928,0.003043591399270445
0.05492488232592043,amaico,19,4.174291056769953e-6
0.04346372766505711,anacex,26,4.5202276771659395e-6
0.07095424153731375,anaxpa,883,2.506103811097922e-4
0.08700776926577762,andiin,256,8.909595572815628e-5
0.10233483346573262,annoac,500,2.0466966693146523e-4
0.05993312130515808,annosp,149,3.572014029787422e-5
0.06316975527514695,apeime,308,7.782513849898105e-5
0.09504452096739993,apeiti,50,1.9008904193479985e-5
0.11028192275349867,aphesi,8,3.5290215281119576e-6
0,appuse,2,0
0,ardiba,7,0
0.07454112018636028,ardife,114,3.3990750804980285e-5
0.19157058180611483,ardigu,16,1.2260517235591349e-5
0.059911659965384625,aspicr,473,1.1335286065450771e-4
0.07341448466149061,ast2gr,117,3.4357978821577613e-5
0.10828359847454844,beilpe,1996,8.645362502207948e-4
Inf,boropa,1,Inf
0.09627342393287114,brosal,872,3.3580170267785453e-4
0,brosgu,4,0
0.05676768003846566,calolo,1823,4.1394992284049157e-4
0.09401063306145684,cappfr,2400,9.025020773899856e-4
0,carica,2,0
0.07352031443183939,caseac,452,1.329247284927656e-4
0.08082292213717003,casear,131,4.23512111998771e-5
0.043829886937409156,caseco,23,4.032349598241642e-6
0.10834073273550154,casegu,13,5.63371810224608e-6
0.069396939161501775,casesy,128,3.553123285068891e-5
0.09387960462348721,cassel,1108,4.1607440769129533e-4
0.027574077554121584,cavapl,36,3.970667167793508e-6
0.06434107547969922,cecrin,890,2.2905422870772923e-4
0.10882245708882658,cecrlo,13,5.658767768618982e-6
0.06248630397028755,cecrob,264,6.598553699262365e-5
0.05573947455103132,cedrod,12,2.6754947784495034e-6
0.09157502198146551,ceibpe,62,2.2710605451403444e-5
