Latin,sp,pft,PFT_2axes
Quararibea asterolepis,quaras,ST_DT,3
Gustavia superba,gustsu,ST_DT,3
Virola surinamensis,virosu,LD_DI,3
Brosimum alicastrum,brosal,ST_DT,3
Anacardium excelsum,anacex,LD_DI,3
Beilschmiedia pendula,beilpe,ST_DI,3
Terminalia oblonga,termob,ST_DI,3
Guazuma ulmifolia,guazul,LD_DI,3
Luehea seemannii,luehse,LD_DI,3
Triplaris cumingiana,tripcu,ST_DT,3
Heisteria concinna,heisco,ST_DT,3
Prioria copaifera,pri2co,ST_DI,3
Guapira standleyana,guapst,ST_DT,3
Tabernaemontana arborea,tab2ar,ST_DI,3
Hura crepitans,huracr,LD_DT,3
Ficus yoponensis,ficuyo,LD_DT,3
Cavanillesia platanifolia,cavapl,LD_DI,3
Lindackeria laurina,lindla,ST_DI,3
Lacmellea panamensis,lacmpa,LD_DT,3
Diospyros artanthifolia,dio2ar,ST_DT,3
Tabebuia guayacan,tab1gu,ST_DI,3
Sterculia apetala,sterap,LD_DI,3
Hieronyma alchorneoides,hyeral,LD_DT,3
Virola multiflora,virosp,LD_DT,3
Virola sebifera,virose,LD_DI,3
Dendropanax arboreus,dendar,LD_DT,3
Pouteria stipitata,poutst,ST_DT,3
Inga acuminata,ingas1,ST_DI,3
Dipteryx oleifera,diptpa,ST_DT,3
Astronium graveolens,ast2gr,ST_DI,3
Cespedesia spathulata,cespma,ST_DT,3
Cupania latifolia,cupala,ST_DT,3
Zanthoxylum setulosum,zantse,LD_DI,3
Xylopia macrantha,xyl1ma,ST_DI,3
Inga spectabilis,ingasp,LD_DT,3
Sapium broadleaf,sapisp,LD_DT,3
Nectandra cissiflora,nectci,LD_DI,3
Ficus maxima,ficuma,LD_DT,3
Maytenus schippii,maytsc,ST_DT,3
Cinnamomum triplinerve,phoeci,LD_DT,3
Celtis schippii,celtsc,ST_DI,3
Siparuna pauciflora,sipapa,ST_DI,3
Guarea grandifolia,guargr,ST_DT,3
Ormosia coccinea,ormocr,ST_DT,3
Tetrathylacium johansenii,tet4jo,LD_DI,3
Terminalia amazonia,termam,ST_DI,3
Marila laxiflora,mar1la,ST_DT,3
Tocoyena pittieri,tocopi,ST_DT,3
Schefflera morototoni,sch2mo,LD_DI,3
Pachira sessilis,pochse,LD_DI,3
Pouteria fossicola,poutfo,ST_DT,3
Colubrina glandulosa,colugl,LD_DT,3
Miconia hondurensis,micoho,ST_DT,3
Laetia procera,laetpr,LD_DT,3
Lafoensia punicifolia,lafopu,LD_DI,3
Enterolobium schomburgkii,entesc,ST_DI,3
Pourouma bicolor,pourbi,LD_DT,3
Abarema macradenia,pit1ma,LD_DT,3
Inga thibaudiana,ingath,ST_DT,3
Pachira quinata,pochqu,LD_DI,3
Maclura tinctoria,maclti,LD_DI,3
Siparuna guianensis,sipagu,ST_DI,3
Alchornea latifolia,alchla,LD_DT,3
Perebea xanthochyma,perexa,ST_DI,3
Nectandra purpurea,nectpu,LD_DT,3
Chimarrhis parviflora,chimpa,ST_DT,3
Schizolobium parahyba,schipa,LD_DT,3
