sp,R
acacme,1
acaldi,639
acalma,54
ade1tr,64
aegipa,41
alchco,65
alchla,1
alibed,94
allops,51
alsebl,1643
amaico,2
anacex,2
anaxpa,121
andiin,22
annoac,159
annoha,0
annosp,123
apeihy,0
apeime,56
apeiti,13
aphesi,7
appuse,0
ardiba,1
ardife,11
ardigu,1
aspicr,45
ast2gr,13
banagu,4
beilpe,678
bertgu,0
boropa,0
brosal,55
brosgu,0
calolo,293
cappfr,597
carica,0
caseac,137
casear,50
caseco,3
casegu,2
casesy,65
cassel,97
cavapl,3
cecrin,403
cecrlo,3
cecrob,86
cedrod,8
ceibpe,22
celtsc,19
cespma,0
cestme,95
cha2sc,28
chimpa,1
chr1ec,37
chr2ar,128
chr2ca,33
clidde,33
clidoc,15
clidse,2
cnempe,2
coccco,66
coccma,93
colugl,1
conobr,4
conoci,168
cordal,41
cordbi,363
cordla,442
cou2cu,376
couthe,0
crotbi,605
cupaci,5
cupala,10
cuparu,37
cupasy,187
cyphha,5
dendar,16
des2pa,2852
dio2ar,13
diptpa,7
drypst,224
entesc,2
ery1co,67
ery2ma,115
ery2pa,24
eugeco,170
eugega,235
eugene,82
eugeoe,684
faraoc,3477
gar2in,453
gar2ma,158
geniam,11
guapst,27
guargr,13
guargu,340
guarsp,422
guatdu,395
guazul,10
guetfo,61
gustsu,127
hameax,109
hamepa,0
hampap,66
hassfl,264
heisac,10
heisco,50
herrpu,87
hirtam,7
hirttr,662
huracr,8
hybapr,10498
hyeral,23
ingaco,36
ingafa,24
ingago,99
ingam1,3
ingama,374
ingami,8
ingape,22
ingapu,6
ingaqu,102
ingaru,6
ingas1,41
ingasa,86
ingasp,7
ingath,56
ingaum,222
jac1co,60
koanwe,9
laciag,554
lacmpa,5
laetpr,4
laetth,163
lafopu,1
leandi,2
licahy,20
licapl,54
lindla,16
loncla,239
lopida,0
lozapi,6
luehse,84
lycima,0
maclti,1
macrgl,11
malmsp,39
malpro,18
maquco,181
mar1la,4
margno,1
maytsc,5
micoaf,205
micoar,649
micodo,0
micoel,16
micoho,7
micoim,2
micone,344
micopr,0
mourmy,2201
myrcga,12
myrofr,1
nectci,121
nectgl,87
nectpu,22
nects1,1
nects3,1
neeaam,31
ochrpy,3
ocotce,149
ocotob,130
ocotpu,112
ocotwh,160
olmeas,73
oreoca,0
ormoam,1
ormocr,3
ormoma,19
ouralu,206
paligu,1322
pentma,129
perexa,56
phoeci,35
picrla,285
pipea1,29
pipeae,70
pipeca,3
pipeco,1356
pipecu,37
pipeim,3
pipepe,40
pipere,41
pit1ma,0
pit1ru,0
pla1pi,83
pla2el,46
pochqu,0
pochse,3
posola,11
poular,573
pourbi,16
poutfo,0
poutre,502
poutst,8
pri2co,106
protco,223
protpa,534
protsp,0
protte,485
pse1se,15
psidfr,9
psycac,24
psycb1,0
psycch,7
psycde,57
psycfu,1
psycg1,42
psycg2,5
psycg3,41
psycho,2756
psycli,23
psycma,456
psycpi,3
psycps,1
psycra,3
pterof,0
pterro,491
quaras,231
quasam,14
randar,209
randfo,1
rauvli,0
rinosy,576
sapiau,24
sapisp,0
sch2mo,0
schipa,0
sennda,129
simaam,748
sipagu,7
sipapa,155
sloate,58
solaar,1
solaas,3
solaha,89
solast,0
soroaf,604
spacme,2
sponmo,38
sponra,121
stemgr,1
sterap,18
stylst,257
swars1,252
swars2,186
sympgl,34
tab1gu,9
tab1ro,79
tab2ar,268
tachve,1144
taline,54
talipr,120
termam,13
termob,7
ternte,1
tet2pa,820
tet4jo,2
theoca,3
thevah,28
tocopi,0
tratas,14
tremin,0
tremmi,21
tri1gi,4
tri2pa,130
tri2tu,2561
tri4ga,5
tripcu,48
tropra,75
turpoc,29
uniden,32
unonpi,147
urerba,27
verbgi,0
virose,351
virosp,5
virosu,24
vismba,35
vismbi,0
vismma,2
vochfe,12
xyl1ma,93
xyl2ch,0
xyl2ol,39
zantbe,100
zantp1,84
zantpr,61
zantse,0
zuelgu,18
