cen,sp,M
1,acacme,0
1,acaldi,0.094177209654935
1,acalma,0.095051727622335
1,ade1tr,0.047720870270991
1,aegipa,0.087972917573888
1,alchco,0.168399321334342
1,alchla,NA
1,alibed,0.01209114703694
1,allops,0.06980719369597
1,alsebl,0.014594040100032
1,amaico,0.01176988619755
1,anacex,0.159729973312
1,anaxpa,0.053680551193118
1,andiin,0.009173169773675
1,annoac,0.025781392313842
1,annoha,NA
1,annosp,0.158140182862434
1,apeihy,NA
1,apeime,0.102114060847683
1,apeiti,0.111718997747725
1,aphesi,0.032617757658333
1,appuse,0
1,ardiba,0
1,ardife,0.00887974376047
1,ardigu,0.054672679113975
1,aspicr,0.009925737659146
1,ast2gr,0.059823750589379
1,banagu,NA
1,beilpe,0.021501652425342
1,bertgu,0
1,boropa,0
1,brosal,0.003978653621701
1,brosgu,0
1,calolo,0.025443110450883
1,cappfr,0.008580936429616
1,carica,NA
1,caseac,0.029283702083403
1,casear,0.132367978441031
1,caseco,0
1,casegu,0
1,casesy,0.058533895465972
1,cassel,0.005742482617963
1,cavapl,0
1,cecrin,0.281990664925082
1,cecrlo,NA
1,cecrob,0.488500199496635
1,cedrod,0.12188981953622
1,ceibpe,0.132465233216912
1,celtsc,0.03044771448127
1,cespma,0.07730430528822
1,cestme,0.104109183814323
1,cha2sc,0
1,chimpa,0
1,chr1ec,0.025888790190822
1,chr2ar,0.011371042444237
1,chr2ca,0.014763736365149
1,clidde,0
1,clidoc,Inf
1,clidse,Inf
1,cnempe,0.236686838625909
1,coccco,0.022937937434368
1,coccma,0.010940575472104
1,colugl,NA
1,conobr,0
1,conoci,0.121742186243942
1,cordal,0.09872713271237
1,cordbi,0.044811152742032
1,cordla,0.02609643031479
1,cou2cu,0.008631641797635
1,couthe,0
1,crotbi,0.203061310586627
1,cupaci,0
1,cupala,0.040036785325806
1,cuparu,0.006473412268147
1,cupasy,0.006157158449146
1,cyphha,Inf
1,dendar,0.064991530371966
1,des2pa,0.02614604444291
1,dio2ar,0.037874986589808
1,diptpa,0.065013781616562
1,drypst,0.006850513683934
1,entesc,0
1,ery1co,0.082121981153972
1,ery2ma,0.036160341746125
1,ery2pa,0.016332416748444
1,eugeco,0.013596505527129
1,eugega,0.008254364438041
1,eugene,0.008367999930078
1,eugeoe,0.023045595433033
1,faraoc,0.009699548646276
1,gar2in,0.007328207568568
1,gar2ma,0.00564112301555
1,geniam,0.026553704652195
1,guapst,0.07192463245824
1,guargr,0.009620432111515
1,guargu,0.019195777340631
1,guarsp,0.034155746588611
1,guatdu,0.03267011136226
1,guazul,0.09050290789346
1,guetfo,0.011524317648777
1,gustsu,0.091649647948127
1,hameax,0.122040706991211
1,hamepa,NA
1,hampap,0.465911378528349
1,hassfl,0.057182710115166
1,heisac,0.029830527511936
1,heisco,0.006211170724178
1,herrpu,0.018269140085994
1,hirtam,0.015430445492558
1,hirttr,0.012452324700396
1,huracr,0.063523524315312
1,hybapr,0.027916631999398
1,hyeral,0.050788252822425
1,ingaco,0.065337046271085
1,ingafa,0.006016912595518
1,ingago,0.017573004209407
1,ingam1,NA
1,ingama,0.07924228833501
1,ingami,0.065369892619117
1,ingape,0.029064447437595
1,ingapu,0
1,ingaqu,0.014635852926195
1,ingaru,0.060116226241641
1,ingas1,0.006478141444256
1,ingasa,0.024669300687854
1,ingasp,0.089217471418394
1,ingath,0
1,ingaum,0.013442108482902
1,jac1co,0.128320553324889
1,koanwe,0.125057910096911
1,laciag,0.031074589259365
1,lacmpa,0
1,laetpr,0.123308588048861
1,laetth,0.022642379090834
1,lafopu,0
1,leandi,NA
1,licahy,0.011055598801184
1,licapl,0.011757290489829
1,lindla,0.163232587155513
1,loncla,0.020618740296847
1,lopida,0
1,lozapi,0.109319436016769
1,luehse,0.123786477694868
1,lycima,0
1,maclti,0
1,macrgl,0
1,malmsp,0.005935512386423
1,malpro,0.019180995635592
1,maquco,0.014746219052256
1,mar1la,0.026056556533294
1,margno,0
1,maytsc,0
1,micoaf,0.024099387041135
1,micoar,0.095715641900672
1,micodo,NA
1,micoel,0.060613193558391
1,micoho,0.047804304000105
1,micoim,0.034941095926491
1,micone,0.186826311373386
1,micopr,NA
1,mourmy,0.02859609984482
1,myrcga,0.018702193987274
1,myrofr,0.066650532825043
1,nectci,0.052220697029777
1,nectgl,0.060063561434394
1,nectpu,0.029006784246757
1,nects1,0.034181229018735
1,nects3,0
1,neeaam,0.061850457294605
1,ochrpy,0.26100206979332
1,ocotce,0.032244715627961
1,ocotob,0.104828998433777
1,ocotpu,0.070203649565064
1,ocotwh,0.078282574493516
1,olmeas,0.063858434960217
1,oreoca,NA
1,ormoam,NA
1,ormocr,0.007910543804108
1,ormoma,0
1,ouralu,0.007386118789452
1,paligu,0.115947725897685
1,pentma,0.035489254032708
1,perexa,0.034725228420806
1,phoeci,0.070936091313655
1,picrla,0.025612829875083
1,pipea1,0.086362070897389
1,pipeae,0.125290841400678
1,pipeca,0.048343338380393
1,pipeco,0.044878916735302
1,pipecu,0.219267677940811
1,pipeim,0.336508874946351
1,pipepe,0.058890877775475
1,pipere,0.025154729336943
1,pit1ma,NA
1,pit1ru,0
1,pla1pi,0.048112231567577
1,pla2el,0.058368167676627
1,pochqu,NA
1,pochse,0.024596637558565
1,posola,0.005642743441061
1,poular,0.104082469643519
1,pourbi,0.014635084732276
1,poutfo,0
1,poutre,0.021360383519566
1,poutst,0.013668348781651
1,pri2co,0.005301868825639
1,protco,0.030721300755274
1,protpa,0.01780592794575
1,protsp,NA
1,protte,0.010375953190936
1,pse1se,0.080957336985949
1,psidfr,0
1,psycac,0.255439029082628
1,psycb1,NA
1,psycch,0.024698647433771
1,psycde,0.127473995678664
1,psycfu,Inf
1,psycg1,0.038506031963199
1,psycg2,0.271401754515783
1,psycg3,0.051550377103018
1,psycho,0.042246069189694
1,psycli,0.040834049327934
1,psycma,0.055426524954731
1,psycpi,0.07133460757842
1,psycps,NA
1,psycra,0
1,pterof,0.056771482198629
1,pterro,0.020058179278713
1,quaras,0.01569321413449
1,quasam,0.008087252925436
1,randar,0.017289116043153
1,randfo,0
1,rauvli,NA
1,rinosy,0.019743018069235
1,sapiau,0.125324496196114
1,sapisp,NA
1,sch2mo,NA
1,schipa,0
1,sennda,0.151106932383179
1,simaam,0.061566872806221
1,sipagu,0.085928499860322
1,sipapa,0.041361567160261
1,sloate,0.011995896972843
