sp,ba,X1,Latin,pft,total_ba,ba_fraction
andiin,1.0198765448127232,1,Andira inermis,latedt,563.2992813719742,0.0018105411786230358
beilpe,32.32659746352502,2,Beilschmiedia pendula,latedi,261.6166727127919,0.12356474504594672
brosal,36.15061499759205,3,Brosimum alicastrum,latedt,563.2992813719742,0.064176568643126
calolo,6.8529227536088495,4,Calophyllum longifolium,latedi,261.6166727127919,0.026194518424795223
cordal,4.494872064221567,5,Cordia alliodora,latedi,261.6166727127919,0.01718113764544406
faraoc,57.34022291033532,6,Faramea occidentalis,latedt,563.2992813719742,0.10179353108826487
gar2in,5.199150949950004,7,Garcinia intermedia,latedt,563.2992813719742,0.009229819958738327
guapst,12.999132700075721,8,Guapira standleyana,latedt,563.2992813719742,0.02307677841948418
guargu,16.210919480312242,9,Guarea guidonia,latedi,261.6166727127919,0.06196439742244149
ingaco,0.46987455525993005,10,Inga cocleensis,latedt,563.2992813719742,8.341472655805658e-4
ingasa,1.7673118620791917,11,Inga sapindoides,latedt,563.2992813719742,0.003137429640909037
laciag,1.3985898788207733,12,Lacistema aggregatum,latedi,261.6166727127919,0.00534595086895006
lacmpa,1.6006391362547574,13,Lacmellea panamensis,earlydt,600.2224026987836,0.0026667434088727677
licapl,1.824392797041624,14,Licania platypus,latedt,563.2992813719742,0.003238762869709553
myrcga,0.11575954077883864,15,Myrcia gatunensis,latedi,261.6166727127919,4.424776891261889e-4
posola,0.646304952769503,16,Posoqueria latifolia,latedt,563.2992813719742,0.0011473562529591016
pse1se,5.350422714471959,17,Pseudobombax septenatum,earlydt,600.2224026987836,0.008914067003188853
psidfr,0.1479498576330544,18,Psidium friedrichsthalianum,latedi,261.6166727127919,5.655215170306702e-4
pterro,4.594875602962516,19,Pterocarpus rohrii,earlydt,600.2224026987836,0.007655288410266844
swars1,7.156653257627643,20,Swartzia simplex,latedt,563.2992813719742,0.01270488618447527
tab1ro,7.317321881995945,21,Tabebuia rosea,latedi,261.6166727127919,0.02796963131638422
tet2pa,30.976095571049676,22,Tetragastris panamensis,latedt,563.2992813719742,0.054990475925344985
tri2tu,96.86732631732295,23,Trichilia tuberculata,latedt,563.2992813719742,0.1719642284673122
