int,sp,N1,N2,Ns,Nd,Nr,int_start,int_end,interval_length,M_Koh,R_Koh,...1,Latin,pft
1,aegipa,74,64,46,28,18,1982-04-17,1985-04-11,2.985398926323585,2.1788050037237688e-5,1.4006603595367086e-5,168,Aegiphila panamensis,ST_DT
1,beilpe,1866,2143,1582,284,561,1982-02-22,1985-04-10,3.131914194361133,1.9164640242183033e-4,3.7856912591072823e-4,16,Beilschmiedia pendula,ST_DI
1,tet2pa,2706,3087,2435,271,652,1982-01-12,1985-04-29,3.295361469170426,1.7055881729188647e-4,4.103481508277121e-4,39,Tetragastris panamensis,ST_DI
1,alsebl,6160,6518,5433,727,1085,1982-01-18,1985-04-27,3.2714596755377423,4.6397946730247444e-4,6.924590399218498e-4,25,Alseis blackiana,ST_DT
1,ocotob,164,130,90,74,40,1982-02-02,1985-04-22,3.2202734585828487,5.576207647386348e-5,3.0141662958845124e-5,109,Ocotea oblonga,LD_DT
1,solaha,52,42,15,37,27,1982-04-18,1985-04-25,3.023041798384264,3.506585530486783e-5,2.558859711436301e-5,167,Solanum hayesii,LD_DI
1,quaras,1311,1284,1116,195,168,1981-12-04,1985-05-16,3.44937107802654,1.1959866526531726e-4,1.0303885007473486e-4,1,Quararibea asterolepis,LD_DT
1,gustsu,98,50,29,69,21,1982-01-23,1985-05-08,3.2894313670673774,6.06400243561205e-5,1.845565958664537e-5,2,Gustavia superba,ST_DT
1,pterro,1324,1398,1137,187,261,1982-02-18,1985-04-14,3.152696955487028,1.2484996811853142e-4,1.7425583785527648e-4,3,Pterocarpus rohrii,LD_DI
1,virosu,78,53,53,25,0,1981-12-23,1985-04-27,3.345131253686433,1.7018644831925275e-5,0,4,Virola surinamensis,LD_DI
1,simaam,771,763,549,222,214,1982-03-10,1985-04-03,3.067799376251765,1.615834323633223e-4,1.5576060597185124e-4,5,Simarouba amara,LD_DI
1,protte,2029,2209,1773,256,436,1981-10-23,1985-06-12,3.636880120093236,1.4773068839546734e-4,2.5160382867353033e-4,6,Protium tenuifolium,ST_DI
1,brosal,452,475,408,44,67,1981-12-25,1985-05-04,3.359720680656668,2.7141029946294298e-5,4.132838650912995e-5,7,Brosimum alicastrum,ST_DT
1,ingape,160,153,113,47,40,1981-06-28,1985-08-07,4.111253245590475,2.595661433995595e-5,2.209073560847315e-5,8,Inga pezizifera,ST_DI
1,poular,1588,936,833,755,103,1981-11-15,1985-05-21,3.513568372381905,5.327944123308825e-4,7.268586022527271e-5,9,Poulsenia armata,LD_DI
1,casear,84,59,45,39,14,1982-03-30,1985-04-25,3.073028403374351,3.0879960608149395e-5,1.1085114064463886e-5,10,Casearia arborea,ST_DT
1,hirttr,3007,3432,2672,335,760,1981-12-18,1985-05-04,3.3771011326839964,2.0670648773001224e-4,4.689460617158487e-4,11,Hirtella triandra,ST_DI
1,ocotwh,835,607,507,328,100,1981-08-21,1985-06-17,3.8249396069182744,2.0422402640089715e-4,6.226342268320035e-5,12,Ocotea whitei,ST_DI
