sp,Ns,N1,N2,int_start,int_end,interval_length,int
aegipa,46,74,64,1982-04-17,1985-04-11,2.985398926323585,1
beilpe,1582,1866,2143,1982-02-22,1985-04-10,3.131914194361133,1
tet2pa,2435,2706,3087,1982-01-12,1985-04-29,3.295361469170426,1
alsebl,5433,6160,6518,1982-01-18,1985-04-27,3.2714596755377423,1
ocotob,90,164,130,1982-02-02,1985-04-22,3.2202734585828487,1
solaha,15,52,42,1982-04-18,1985-04-25,3.023041798384264,1
quaras,1116,1311,1284,1981-12-04,1985-05-16,3.44937107802654,1
gustsu,29,98,50,1982-01-23,1985-05-08,3.2894313670673774,1
pterro,1137,1324,1398,1982-02-18,1985-04-14,3.152696955487028,1
virosu,53,78,53,1981-12-23,1985-04-27,3.345131253686433,1
simaam,549,771,763,1982-03-10,1985-04-03,3.067799376251765,1
protte,1773,2029,2209,1981-10-23,1985-06-12,3.636880120093236,1
brosal,408,452,475,1981-12-25,1985-05-04,3.359720680656668,1
ingape,113,160,153,1981-06-28,1985-08-07,4.111253245590475,1
poular,833,1588,936,1981-11-15,1985-05-21,3.513568372381905,1
casear,45,84,59,1982-03-30,1985-04-25,3.073028403374351,1
hirttr,2672,3007,3432,1981-12-18,1985-05-04,3.3771011326839964,1
ocotwh,507,835,607,1981-08-21,1985-06-17,3.8249396069182744,1
guatdu,764,974,922,1982-01-23,1985-04-25,3.2559343269706766,1
anacex,1,2,1,1981-04-22,1985-08-24,4.342465753424658,1
tri2tu,7858,9273,9509,1981-11-10,1985-05-30,3.5540897640483347,1
guarsp,1078,1296,1234,1981-12-22,1985-05-07,3.374854851039696,1
guargu,1027,1218,1251,1981-11-09,1985-05-27,3.545848231327887,1
zantpr,118,138,149,1982-02-02,1985-04-18,3.2067471183044134,1
termob,30,35,33,1981-12-02,1985-05-29,3.4909422997094213,1
guazul,5,14,8,1981-09-29,1985-06-21,3.7299412915851264,1
tab1ro,151,193,187,1982-01-17,1985-05-03,3.2947393631698865,1
sloate,396,450,427,1981-12-08,1985-04-29,3.389816189549402,1
alchco,73,151,86,1981-12-30,1985-04-30,3.332751181989454,1
loncla,467,566,582,1982-03-04,1985-04-07,3.0957020471012764,1
luehse,42,80,79,1982-03-31,1985-04-12,3.0335629443384757,1
tripcu,108,162,129,1981-09-29,1985-06-11,3.700433809619327,1
cecrob,2,14,12,1982-03-29,1985-04-17,3.0565231572080886,1
licapl,208,226,262,1981-08-26,1985-06-30,3.84791550028271,1
