Latin,sp,pft,PFT_2axes
Pterocarpus rohrii,pterro,LD_DT,5
Simarouba amara,simaam,LD_DI,2
Protium tenuifolium,protte,ST_DI,1
Inga pezizifera,ingape,LD_DT,2
Poulsenia armata,poular,LD_DI,2
Casearia arborea,casear,LD_DT,2
Hirtella triandra,hirttr,ST_DI,1
Ocotea whitei,ocotwh,LD_DI,2
Guatteria dumetorum,guatdu,LD_DI,2
Trichilia tuberculata,tri2tu,ST_DT,1
Guarea guidonia,guargu,ST_DI,1
Zanthoxylum acuminatum,zantpr,LD_DT,2
Tabebuia rosea,tab1ro,LD_DI,5
Sloanea terniflora,sloate,ST_DI,1
Alchornea costaricensis,alchco,LD_DT,2
Lonchocarpus heptaphyllus,loncla,LD_DT,5
Alseis blackiana,alsebl,ST_DT,1
Cecropia obtusifolia,cecrob,LD_DI,2
Licania platypus,licapl,ST_DT,5
Eugenia coloradoensis,eugeco,ST_DT,5
Eugenia nesiotica,eugene,ST_DT,1
Spondias radlkoferi,sponra,LD_DT,2
Pouteria reticulata,poutre,LD_DT,1
Swartzia simplex,swars1,ST_DT,1
Cordia bicolor,cordbi,LD_DI,2
Zanthoxylum ekmanii,zantbe,LD_DT,2
Tetragastris panamensis,tet2pa,ST_DT,1
Annona spraguei,annosp,LD_DI,2
Jacaranda copaia,jac1co,LD_DI,2
Zanthoxylum panamense,zantp1,LD_DI,2
Chrysophyllum argenteum,chr2ar,ST_DT,1
Eugenia oerstediana,eugeoe,LD_DT,4
Sapium glandulosum,sapiau,LD_DT,2
Apeiba membranacea,apeime,LD_DT,2
Inga goldmanii,ingago,LD_DI,5
Ceiba pentandra,ceibpe,LD_DT,2
Chrysophyllum cainito,chr2ca,ST_DI,1
Myrospermum frutescens,myrofr,ST_DI,5
Drypetes standleyi,drypst,ST_DT,1
Inga cocleensis,ingaco,LD_DT,2
Posoqueria latifolia,posola,ST_DT,1
Casearia sylvestris,casesy,ST_DI,5
Amaioua corymbosa,amaico,ST_DI,5
Platypodium elegans,pla2el,LD_DI,2
Cordia alliodora,cordal,LD_DT,2
Trattinnickia aspera,tratas,LD_DT,2
Apeiba tibourbou,apeiti,LD_DT,2
Inga laurina,ingafa,ST_DI,5
Cassipourea elliptica,cassel,ST_DI,1
Calophyllum longifolium,calolo,LD_DI,5
Garcinia intermedia,gar2in,ST_DT,1
Croton billbergianus,crotbi,LD_DI,2
Zuelania guidonia,zuelgu,LD_DI,2
Cecropia insignis,cecrin,LD_DI,2
Hasseltia floribunda,hassfl,LD_DI,2
Spondias mombin,sponmo,LD_DI,2
Inga marginata,ingama,LD_DT,2
Allophylus psilospermus,allops,LD_DT,2
Guarea bullata,guarsp,LD_DT,4
Symphonia globulifera,sympgl,ST_DI,2
Guettarda foliacea,guetfo,ST_DT,1
Aspidosperma spruceanum,aspicr,ST_DT,1
Andira inermis,andiin,ST_DT,1
Platymiscium pinnatum,pla1pi,ST_DT,5
Hirtella americana,hirtam,ST_DI,5
Trophis racemosa,tropra,ST_DT,1
Protium panamense,protpa,ST_DI,1
Ficus tonduzii,ficuto,LD_DT,5
Maquira guianensis,maquco,ST_DT,1
Garcinia madruno,gar2ma,ST_DT,4
Unonopsis pittieri,unonpi,LD_DI,5
Macrocnemum roseum,macrgl,ST_DT,1
Picramnia latifolia,picrla,ST_DT,4
Genipa americana,geniam,ST_DI,1
Hampea appendiculata,hampap,LD_DT,2
Randia armata,randar,ST_DT,1
Ocotea oblonga,ocotob,LD_DT,2
Myrcia gatunensis,myrcga,ST_DI,5
Cordia lasiocalyx,cordla,ST_DT,5
Licania hypoleuca,licahy,ST_DT,1
Tachigali versicolor,tachve,LD_DI,2
Protium costaricense,protco,LD_DI,5
Psidium friedrichsthalianum,psidfr,ST_DI,1
Nectandra fuzzy,nects1,LD_DT,2
Turpinia occidentalis,turpoc,LD_DI,2
Trema micrantha,tremmi,LD_DI,2
Adelia triloba,ade1tr,LD_DT,5
Inga sapindoides,ingasa,LD_DT,2
Ocotea cernua,ocotce,ST_DT,5
Inga punctata,ingapu,LD_DT,2
Nectandra lineata,nectgl,LD_DT,2
Miconia argentea,micoar,LD_DI,2
Ficus insipida,ficuin,LD_DT,2
Ormosia macrocalyx,ormoma,ST_DI,1
Trichilia pallida,tri2pa,LD_DT,5
Faramea occidentalis,faraoc,ST_DT,1
Pseudobombax septenatum,pse1se,LD_DT,2
Ocotea puberula,ocotpu,LD_DI,2
Inga oerstediana,ingami,LD_DI,2
Inga ruiziana,ingaru,LD_DI,2
Cupania rufescens,cuparu,ST_DI,1
Lacistema aggregatum,laciag,LD_DI,4
Vochysia ferruginea,vochfe,LD_DI,2
Coussarea curvigemmia,cou2cu,ST_DI,1
Coccoloba coronata,coccco,ST_DT,1
Trichospermum galeottii,tri4ga,LD_DI,2
Pterocarpus officinalis,pterof,LD_DT,2
Cedrela odorata,cedrod,LD_DI,2
Inga nobilis,ingaqu,ST_DT,5
Eugenia galalonensis,eugega,ST_DT,1
Ochroma pyramidale,ochrpy,LD_DI,2
Cupania seemannii,cupasy,ST_DI,1
Cupania cinerea,cupaci,ST_DI,5
Casearia aculeata,caseac,ST_DT,1
Solanum hayesii,solaha,LD_DT,2
Aegiphila panamensis,aegipa,ST_DI,4
Erythroxylum macrophyllum,ery2ma,ST_DI,4
Laetia thamnia,laetth,ST_DI,4
