"","Latin","sp","pft"
"1","Quararibea asterolepis","quaras","ST_DT"
"2","Gustavia superba","gustsu","ST_DT"
"3","Pterocarpus rohrii","pterro","LD_DT"
"4","Virola surinamensis","virosu","LD_DI"
"5","Simarouba amara","simaam","LD_DI"
"6","Protium tenuifolium","protte","ST_DI"
"7","Brosimum alicastrum","brosal","ST_DT"
"8","Inga pezizifera","ingape","LD_DT"
"9","Poulsenia armata","poular","LD_DI"
"10","Casearia arborea","casear","LD_DT"
"11","Hirtella triandra","hirttr","ST_DI"
"12","Ocotea whitei","ocotwh","LD_DI"
"13","Guatteria dumetorum","guatdu","LD_DI"
"14","Anacardium excelsum","anacex","LD_DI"
"15","Trichilia tuberculata","tri2tu","ST_DT"
"16","Beilschmiedia pendula","beilpe","ST_DI"
"17","Guarea guidonia","guargu","ST_DI"
"18","Zanthoxylum acuminatum","zantpr","LD_DT"
"19","Terminalia oblonga","termob","ST_DI"
"20","Guazuma ulmifolia","guazul","LD_DI"
"21","Tabebuia rosea","tab1ro","LD_DI"
"22","Sloanea terniflora","sloate","ST_DI"
"23","Alchornea costaricensis","alchco","LD_DT"
"24","Lonchocarpus heptaphyllus","loncla","LD_DT"
"25","Alseis blackiana","alsebl","ST_DT"
"26","Luehea seemannii","luehse","LD_DI"
"27","Triplaris cumingiana","tripcu","ST_DT"
"28","Cecropia obtusifolia","cecrob","LD_DI"
"29","Licania platypus","licapl","ST_DT"
"30","Eugenia coloradoensis","eugeco","ST_DT"
"31","Heisteria concinna","heisco","ST_DT"
"32","Eugenia nesiotica","eugene","ST_DT"
"33","Prioria copaifera","pri2co","ST_DI"
"34","Spondias radlkoferi","sponra","LD_DT"
"35","Pouteria reticulata","poutre","LD_DT"
"36","Swartzia simplex","swars1","ST_DT"
"37","Guapira standleyana","guapst","ST_DT"
"38","Cordia bicolor","cordbi","LD_DI"
"39","Zanthoxylum ekmanii","zantbe","LD_DT"
"40","Tetragastris panamensis","tet2pa","ST_DT"
"41","Annona spraguei","annosp","LD_DI"
"42","Tabernaemontana arborea","tab2ar","ST_DI"
"43","Jacaranda copaia","jac1co","LD_DI"
"44","Zanthoxylum panamense","zantp1","LD_DI"
"45","Chrysophyllum argenteum","chr2ar","ST_DT"
"46","Eugenia oerstediana","eugeoe","LD_DT"
"47","Hura crepitans","huracr","LD_DT"
"48","Sapium glandulosum","sapiau","LD_DT"
"49","Apeiba membranacea","apeime","LD_DT"
"50","Ficus yoponensis","ficuyo","LD_DT"
"51","Inga goldmanii","ingago","LD_DI"
"52","Ceiba pentandra","ceibpe","LD_DT"
"53","Cavanillesia platanifolia","cavapl","LD_DI"
"54","Chrysophyllum cainito","chr2ca","ST_DI"
"55","Lindackeria laurina","lindla","ST_DI"
"56","Lacmellea panamensis","lacmpa","LD_DT"
"57","Myrospermum frutescens","myrofr","ST_DI"
"58","Drypetes standleyi","drypst","ST_DT"
"59","Inga cocleensis","ingaco","LD_DT"
"60","Posoqueria latifolia","posola","ST_DT"
"61","Casearia sylvestris","casesy","ST_DI"
"62","Amaioua corymbosa","amaico","ST_DI"
"63","Platypodium elegans","pla2el","LD_DI"
"64","Cordia alliodora","cordal","LD_DT"
"65","Diospyros artanthifolia","dio2ar","ST_DT"
"66","Trattinnickia aspera","tratas","LD_DT"
"67","Apeiba tibourbou","apeiti","LD_DT"
"68","Tabebuia guayacan","tab1gu","ST_DI"
"69","Inga laurina","ingafa","ST_DI"
"70","Attalea butyracea","sch1zo","LD_DI"
"71","Sterculia apetala","sterap","LD_DI"
"72","Cassipourea elliptica","cassel","ST_DI"
"73","Calophyllum longifolium","calolo","LD_DI"
"74","Garcinia intermedia","gar2in","ST_DT"
"75","Croton billbergianus","crotbi","LD_DI"
"76","Hieronyma alchorneoides","hyeral","LD_DT"
"77","Zuelania guidonia","zuelgu","LD_DI"
"78","Cecropia insignis","cecrin","LD_DI"
"79","Hasseltia floribunda","hassfl","LD_DI"
"80","Spondias mombin","sponmo","LD_DI"
"81","Inga marginata","ingama","LD_DT"
"82","Allophylus psilospermus","allops","LD_DT"
"83","Guarea bullata","guarsp","LD_DT"
"84","Virola multiflora","virosp","LD_DT"
"85","Symphonia globulifera","sympgl","ST_DI"
"86","Guettarda foliacea","guetfo","ST_DT"
"87","Virola sebifera","virose","LD_DI"
"88","Ficus aurea","ficutr","LD_DT"
"89","Aspidosperma spruceanum","aspicr","ST_DT"
"90","Dendropanax arboreus","dendar","LD_DT"
"91","Pouteria stipitata","poutst","ST_DT"
"92","Andira inermis","andiin","ST_DT"
"93","Inga acuminata","ingas1","ST_DI"
"94","Platymiscium pinnatum","pla1pi","ST_DT"
"95","Dipteryx oleifera","diptpa","ST_DT"
"96","Astronium graveolens","ast2gr","ST_DI"
"97","Hirtella americana","hirtam","ST_DI"
"98","Ficus obtusifolia","ficuob","LD_DI"
"99","Trophis racemosa","tropra","ST_DT"
"100","Protium panamense","protpa","ST_DI"
"101","Ficus tonduzii","ficuto","LD_DT"
"102","Maquira guianensis","maquco","ST_DT"
"103","Garcinia madruno","gar2ma","ST_DT"
"104","Unonopsis pittieri","unonpi","LD_DI"
"105","Macrocnemum roseum","macrgl","ST_DT"
"106","Cespedesia spathulata","cespma","ST_DT"
"107","Picramnia latifolia","picrla","ST_DT"
"108","Cupania latifolia","cupala","ST_DT"
"109","Zanthoxylum setulosum","zantse","LD_DI"
"110","Xylopia macrantha","xyl1ma","ST_DI"
"111","Genipa americana","geniam","ST_DI"
"112","Inga spectabilis","ingasp","LD_DT"
"113","Hampea appendiculata","hampap","LD_DT"
"114","Randia armata","randar","ST_DT"
"115","Sapium broadleaf","sapisp","LD_DT"
"116","Ocotea oblonga","ocotob","LD_DT"
"117","Myrcia gatunensis","myrcga","ST_DI"
"118","Cordia lasiocalyx","cordla","ST_DT"
"119","Nectandra cissiflora","nectci","LD_DI"
"120","Ficus maxima","ficuma","LD_DT"
"121","Maytenus schippii","maytsc","ST_DT"
"122","Cinnamomum triplinerve","phoeci","LD_DT"
"123","Licania hypoleuca","licahy","ST_DT"
"124","Tachigali versicolor","tachve","LD_DI"
"125","Protium costaricense","protco","LD_DI"
"126","Psidium friedrichsthalianum","psidfr","ST_DI"
"127","Celtis schippii","celtsc","ST_DI"
"128","Siparuna pauciflora","sipapa","ST_DI"
"129","Nectandra fuzzy","nects1","LD_DT"
"130","Apeiba hybrid","apeihy","LD_DT"
"131","Ficus popenoei","ficupo","LD_DT"
"132","Turpinia occidentalis","turpoc","LD_DI"
"133","Trema micrantha","tremmi","LD_DI"
"134","Adelia triloba","ade1tr","LD_DT"
"135","Inga sapindoides","ingasa","LD_DT"
"136","Ocotea cernua","ocotce","ST_DT"
"137","Guarea grandifolia","guargr","ST_DT"
"138","Inga punctata","ingapu","LD_DT"
"139","Nectandra lineata","nectgl","LD_DT"
"140","Ormosia coccinea","ormocr","ST_DT"
"141","Miconia argentea","micoar","LD_DI"
"142","Ficus costaricana","ficuc2","LD_DT"
"143","Ficus insipida","ficuin","LD_DT"
"144","Ormosia macrocalyx","ormoma","ST_DI"
"145","Trichilia pallida","tri2pa","LD_DT"
"146","Ficus bullenei","ficubu","LD_DT"
"147","Faramea occidentalis","faraoc","ST_DT"
"148","Tetrathylacium johansenii","tet4jo","LD_DI"
"149","Terminalia amazonia","termam","ST_DI"
"150","Pseudobombax septenatum","pse1se","LD_DT"
"151","Marila laxiflora","mar1la","ST_DT"
"152","Tocoyena pittieri","tocopi","ST_DT"
"153","Schefflera morototoni","sch2mo","LD_DI"
"154","Pachira sessilis","pochse","LD_DI"
"155","Ocotea puberula","ocotpu","LD_DI"
"156","Inga oerstediana","ingami","LD_DI"
"157","Inga ruiziana","ingaru","LD_DI"
"158","Cupania rufescens","cuparu","ST_DI"
"159","Pouteria fossicola","poutfo","ST_DT"
"160","Lacistema aggregatum","laciag","LD_DI"
"161","Vochysia ferruginea","vochfe","LD_DI"
"162","Colubrina glandulosa","colugl","LD_DT"
"163","Coussarea curvigemmia","cou2cu","ST_DI"
"164","Coccoloba coronata","coccco","ST_DT"
"165","Trichospermum galeottii","tri4ga","LD_DI"
"166","Miconia hondurensis","micoho","ST_DT"
"167","Laetia procera","laetpr","LD_DT"
"168","Lafoensia punicifolia","lafopu","LD_DI"
"169","Enterolobium schomburgkii","entesc","ST_DI"
"170","Pterocarpus officinalis","pterof","LD_DT"
"171","Cedrela odorata","cedrod","LD_DI"
"172","Inga nobilis","ingaqu","ST_DT"
"173","Pourouma bicolor","pourbi","LD_DT"
"174","Abarema macradenia","pit1ma","LD_DT"
"175","Inga thibaudiana","ingath","ST_DT"
"176","Pachira quinata","pochqu","LD_DI"
"177","Eugenia galalonensis","eugega","ST_DT"
"178","Ochroma pyramidale","ochrpy","LD_DI"
"179","Elaeis oleifera","elaeol","ST_DI"
"180","Socratea exorrhiza","socrex","LD_DI"
"181","Cupania seemannii","cupasy","ST_DI"
"182","Cupania cinerea","cupaci","ST_DI"
"183","Oenocarpus mapora","oenoma","ST_DI"
"184","Casearia aculeata","caseac","ST_DT"
"185","Astrocaryum standleyanum","ast1st","ST_DI"
"186","Solanum hayesii","solaha","LD_DT"
"187","Aegiphila panamensis","aegipa","ST_DI"
"188","Trema integerrima","tremin","LD_DT"
"189","Maclura tinctoria","maclti","LD_DI"
"190","Siparuna guianensis","sipagu","ST_DI"
"191","Erythroxylum macrophyllum","ery2ma","ST_DI"
"192","Alchornea latifolia","alchla","LD_DT"
"193","Perebea xanthochyma","perexa","ST_DI"
"194","Nectandra purpurea","nectpu","LD_DT"
"195","Chimarrhis parviflora","chimpa","ST_DT"
"196","Schizolobium parahyba","schipa","LD_DT"
"197","Laetia thamnia","laetth","ST_DI"
