"","Latin","sp","pft"
"1","Andira inermis","andiin","ST_DT"
"2","Beilschmiedia pendula","beilpe","ST_DI"
"3","Brosimum alicastrum","brosal","ST_DT"
"4","Calophyllum longifolium","calolo","LD_DI"
"5","Cordia alliodora","cordal","ST_DI"
"6","Faramea occidentalis","faraoc","ST_DT"
"7","Garcinia intermedia","gar2in","ST_DT"
"8","Guapira standleyana","guapst","ST_DT"
"9","Guarea guidonia","guargu","ST_DI"
"10","Inga cocleensis","ingaco","ST_DT"
"11","Inga sapindoides","ingasa","LD_DT"
"12","Lacistema aggregatum","laciag","LD_DI"
"13","Lacmellea panamensis","lacmpa","LD_DT"
"14","Licania platypus","licapl","ST_DT"
"15","Myrcia gatunensis","myrcga","ST_DI"
"16","Posoqueria latifolia","posola","ST_DT"
"17","Pseudobombax septenatum","pse1se","LD_DT"
"18","Psidium friedrichsthalianum","psidfr","ST_DI"
"19","Pterocarpus rohrii","pterro","LD_DT"
"20","Swartzia simplex","swars1","ST_DT"
"21","Tabebuia rosea","tab1ro","LD_DI"
"22","Tetragastris panamensis","tet2pa","ST_DT"
"23","Trichilia tuberculata","tri2tu","ST_DT"
"24","Virola surinamensis","virosu","LD_DI"
"25","Vochysia ferruginea","vochfe","LD_DI"
"26","Xylopia macrantha","xyl1ma","ST_DI"
"27","Adelia triloba","ade1tr","LD_DT"
"28","Aegiphila panamensis","aegipa","ST_DI"
"29","Alchornea costaricensis","alchco","LD_DT"
"30","Alchornea latifolia","alchla","LD_DT"
"31","Allophylus psilospermus","allops","ST_DT"
"32","Alseis blackiana","alsebl","ST_DI"
"33","Amaioua corymbosa","amaico","ST_DI"
"34","Anacardium excelsum","anacex","LD_DI"
"35","Elaeis oleifera","elaeol","ST_DI"
"36","Annona spraguei","annosp","ST_DI"
"37","Apeiba hybrid","apeihy","LD_DT"
"38","Apeiba membranacea","apeime","LD_DT"
"39","Apeiba tibourbou","apeiti","LD_DT"
"40","Aspidosperma spruceanum","aspicr","ST_DT"
"41","Astrocaryum standleyanum","ast1st","ST_DI"
"42","Astronium graveolens","ast2gr","ST_DI"
"43","Ficus bullenei","ficubu","LD_DT"
"44","Ficus costaricana","ficuc2","LD_DT"
"45","Ficus insipida","ficuin","LD_DT"
"46","Casearia aculeata","caseac","ST_DI"
"47","Casearia arborea","casear","ST_DT"
"48","Casearia sylvestris","casesy","ST_DI"
"49","Cassipourea elliptica","cassel","ST_DT"
"50","Cavanillesia platanifolia","cavapl","LD_DI"
"51","Cecropia insignis","cecrin","LD_DI"
"52","Cecropia obtusifolia","cecrob","LD_DI"
"53","Cedrela odorata","cedrod","LD_DI"
"54","Ceiba pentandra","ceibpe","LD_DT"
"55","Celtis schippii","celtsc","ST_DI"
"56","Cespedesia spathulata","cespma","ST_DT"
"57","Chimarrhis parviflora","chimpa","ST_DT"
"58","Chrysophyllum argenteum","chr2ar","ST_DT"
"59","Chrysophyllum cainito","chr2ca","ST_DI"
"60","Coccoloba coronata","coccco","ST_DT"
"61","Colubrina glandulosa","colugl","ST_DT"
"62","Gustavia superba","gustsu","ST_DT"
"63","Cordia bicolor","cordbi","LD_DT"
"64","Cordia lasiocalyx","cordla","ST_DT"
"65","Coussarea curvigemmia","cou2cu","ST_DI"
"66","Croton billbergianus","crotbi","ST_DT"
"67","Cupania cinerea","cupaci","ST_DI"
"68","Cupania latifolia","cupala","ST_DT"
"69","Cupania rufescens","cuparu","ST_DI"
"70","Cupania seemannii","cupasy","ST_DI"
"71","Dendropanax arboreus","dendar","LD_DT"
"72","Diospyros artanthifolia","dio2ar","ST_DT"
"73","Dipteryx oleifera","diptpa","ST_DT"
"74","Drypetes standleyi","drypst","ST_DT"
"75","Inga pezizifera","ingape","ST_DT"
"76","Enterolobium schomburgkii","entesc","ST_DI"
"77","Erythroxylum macrophyllum","ery2ma","ST_DI"
"78","Eugenia coloradoensis","eugeco","ST_DT"
"79","Eugenia galalonensis","eugega","ST_DT"
"80","Eugenia nesiotica","eugene","ST_DI"
"81","Eugenia oerstediana","eugeoe","LD_DT"
"82","Inga thibaudiana","ingath","ST_DT"
"83","Jacaranda copaia","jac1co","LD_DT"
"84","Pourouma bicolor","pourbi","LD_DT"
"85","Pouteria fossicola","poutfo","ST_DT"
"86","Ficus maxima","ficuma","LD_DT"
"87","Ficus obtusifolia","ficuob","LD_DI"
"88","Ficus popenoei","ficupo","LD_DT"
"89","Ficus tonduzii","ficuto","LD_DT"
"90","Ficus aurea","ficutr","LD_DT"
"91","Ficus yoponensis","ficuyo","LD_DT"
"92","Lonchocarpus heptaphyllus","loncla","LD_DT"
"93","Garcinia madruno","gar2ma","ST_DT"
"94","Genipa americana","geniam","ST_DI"
"95","Macrocnemum roseum","macrgl","LD_DT"
"96","Guarea grandifolia","guargr","ST_DT"
"97","Marila laxiflora","mar1la","ST_DT"
"98","Guarea bullata","guarsp","LD_DT"
"99","Guatteria dumetorum","guatdu","LD_DT"
"100","Guazuma ulmifolia","guazul","ST_DI"
"101","Guettarda foliacea","guetfo","ST_DT"
"102","Myrospermum frutescens","myrofr","ST_DI"
"103","Hampea appendiculata","hampap","LD_DT"
"104","Hasseltia floribunda","hassfl","LD_DI"
"105","Heisteria concinna","heisco","ST_DT"
"106","Hirtella americana","hirtam","ST_DI"
"107","Hirtella triandra","hirttr","ST_DT"
"108","Hura crepitans","huracr","LD_DT"
"109","Hieronyma alchorneoides","hyeral","ST_DT"
"110","Ocotea puberula","ocotpu","LD_DI"
"111","Inga laurina","ingafa","ST_DI"
"112","Inga goldmanii","ingago","LD_DT"
"113","Inga marginata","ingama","LD_DT"
"114","Inga oerstediana","ingami","LD_DT"
