"","day","pft","date","dbh","N_co","SMP","NPP","FSDS","water_def","H20_mort_rate","e_frac","c_repro","light"
"1",0,"earlydi",2003-01-01 11:30:00,500,800,-1076191.88541667,-1.55098138420726,17006579.9925327,908218.685416667,0.00035824181480324,0.0601259160195923,0,0.510197399775982
"2",0,"earlydt",2003-01-01 11:30:00,500,800,-1076191.88541667,-1.55098138420726,17006579.9925327,1813999.553125,0.000729918867805059,0.072322415421456,0,0.510197399775982
"3",0,"latedi",2003-01-01 11:30:00,500,800,-1076191.88541667,-1.55098138420726,17006579.9925327,2716284.41041667,0.00107142329521991,0.0941061453349794,0,0.510197399775982
"4",0,"latedt",2003-01-01 11:30:00,500,800,-1076191.88541667,-1.55098138420726,17006579.9925327,3299672.78105469,0.00132772547618629,0.0939424887937405,0,0.510197399775982
"5",1,"earlydi",2003-01-02 11:30:00,500,800,-1073754.06770833,-1.8675306760997,19865159.7473145,3299672.78105469,0.00130153759697157,0.0601259160195923,0,0.595954792419434
"6",1,"earlydt",2003-01-02 11:30:00,500,800,-1073754.06770833,-1.8675306760997,19865159.7473145,3299672.78105469,0.00132772547618629,0.072322415421456,0,0.595954792419434
"7",1,"latedi",2003-01-02 11:30:00,500,800,-1073754.06770833,-1.8675306760997,19865159.7473145,3303926.88509115,0.00130321560467484,0.0941061453349794,0,0.595954792419434
"8",1,"latedt",2003-01-02 11:30:00,500,800,-1073754.06770833,-1.8675306760997,19865159.7473145,3339029.98326823,0.00134356206469603,0.0939424887937405,0,0.595954792419434
"9",2,"earlydi",2003-01-03 11:30:00,500,800,-1070258.05729167,-1.78061235055793,14646240.2339101,3410973.52740885,0.00134543955803349,0.0601259160195923,0,0.439387207017302
"10",2,"earlydt",2003-01-03 11:30:00,500,800,-1070258.05729167,-1.78061235055793,14646240.2339101,3509129.4485026,0.00141200684951652,0.072322415421456,0,0.439387207017302
"11",2,"latedi",2003-01-03 11:30:00,500,800,-1070258.05729167,-1.78061235055793,14646240.2339101,3622937.29928385,0.00142904749027308,0.0941061453349794,0,0.439387207017302
"12",2,"latedt",2003-01-03 11:30:00,500,800,-1070258.05729167,-1.78061235055793,14646240.2339101,3752605.81542969,0.0015099771019229,0.0939424887937405,0,0.439387207017302
"13",3,"earlydi",2003-01-04 11:30:00,500,800,-751361.570638021,-0.666003330206877,18422459.8794937,3898023.6922526,0.00153755378972186,0.0601259160195923,0,0.552673796384811
"14",3,"earlydt",2003-01-04 11:30:00,500,800,-751361.570638021,-0.666003330206877,18422459.8794937,4058940.60423177,0.0016332403859885,0.072322415421456,0,0.552673796384811
"15",3,"latedi",2003-01-04 11:30:00,500,800,-751361.570638021,-0.666003330206877,18422459.8794937,4235036.7531901,0.00167048671931387,0.0941061453349794,0,0.552673796384811
"16",3,"latedt",2003-01-04 11:30:00,500,800,-751361.570638021,-0.666003330206877,18422459.8794937,4425933.3891276,0.00178091129229182,0.0939424887937405,0,0.552673796384811
"17",4,"earlydi",2003-01-05 11:30:00,500,800,-109332.0390625,-0.498214587742041,19672740.2715683,4631248.13964844,0.00182677009952799,0.0601259160195923,0,0.590182208147049
"18",4,"earlydt",2003-01-05 11:30:00,500,800,-109332.0390625,-0.498214587742041,19672740.2715683,4850518.92272135,0.00195175642366645,0.072322415421456,0,0.590182208147049
"19",4,"latedi",2003-01-05 11:30:00,500,800,-109332.0390625,-0.498214587742041,19672740.2715683,5083373.74615885,0.0020051085332071,0.0941061453349794,0,0.590182208147049
"20",4,"latedt",2003-01-05 11:30:00,500,800,-109332.0390625,-0.498214587742041,19672740.2715683,5329464.57740885,0.00214447503233832,0.0939424887937405,0,0.590182208147049
"21",5,"earlydi",2003-01-06 11:30:00,500,800,-137483.943033854,-1.0241398996186,16429320.0744152,5588472.85397135,0.00220434207017759,0.0601259160195923,0,0.492879602232456
"22",5,"earlydt",2003-01-06 11:30:00,500,800,-137483.943033854,-1.0241398996186,16429320.0744152,5860089.67871094,0.0023579884659575,0.072322415421456,0,0.492879602232456
"23",5,"latedi",2003-01-06 11:30:00,500,800,-137483.943033854,-1.0241398996186,16429320.0744152,6144003.8563151,0.00242346818776874,0.0941061453349794,0,0.492879602232456
"24",5,"latedt",2003-01-06 11:30:00,500,800,-137483.943033854,-1.0241398996186,16429320.0744152,6439911.54824219,0.00259129774203078,0.0939424887937405,0,0.492879602232456
"25",6,"earlydi",2003-01-07 11:30:00,500,800,-172227.304036458,-1.42831264342931,19828259.832716,6747512.25188802,0.00266151872157805,0.0601259160195923,0,0.59484779498148
"26",6,"earlydt",2003-01-07 11:30:00,500,800,-172227.304036458,-1.42831264342931,19828259.832716,7066520.18339844,0.00284343312141509,0.072322415421456,0,0.59484779498148
"27",6,"latedi",2003-01-07 11:30:00,500,800,-172227.304036458,-1.42831264342931,19828259.832716,7396662.67610677,0.00291757250001989,0.0941061453349794,0,0.59484779498148
"28",6,"latedt",2003-01-07 11:30:00,500,800,-172227.304036458,-1.42831264342931,19828259.832716,7737692.51647135,0.00311350008400871,0.0939424887937405,0,0.59484779498148
"29",7,"earlydi",2003-01-08 11:30:00,500,800,-203076.298177083,-1.79365514522942,19300140.2089119,8089359.14199219,0.0031908027726747,0.0601259160195923,0,0.579004206267357
"30",7,"earlydt",2003-01-08 11:30:00,500,800,-203076.298177083,-1.79365514522942,19300140.2089119,8451404.40553385,0.00340068415365529,0.072322415421456,0,0.579004206267357
