year,pft,model,R,facet_var
2006-01-01,LD_DI,submodel,8.08001682445732,submodel 2% TOC
2006-01-01,LD_DT,submodel,19.736926958668814,submodel 2% TOC
2006-01-01,ST_DI,submodel,24.981203400462505,submodel 2% TOC
2006-01-01,ST_DT,submodel,39.35092741447344,submodel 2% TOC
2008-01-01,LD_DI,submodel,6.935909853369911,submodel 2% TOC
2008-01-01,LD_DT,submodel,20.653898156222606,submodel 2% TOC
2008-01-01,ST_DI,submodel,24.775932756528626,submodel 2% TOC
2008-01-01,ST_DT,submodel,45.982413657907784,submodel 2% TOC
2010-01-01,LD_DI,submodel,5.6355522143752035,submodel 2% TOC
2010-01-01,LD_DT,submodel,17.054569293374865,submodel 2% TOC
2010-01-01,ST_DI,submodel,23.461285969789653,submodel 2% TOC
2010-01-01,ST_DT,submodel,41.3304042499818,submodel 2% TOC
2012-01-01,LD_DI,submodel,7.460368571522526,submodel 2% TOC
2012-01-01,LD_DT,submodel,20.24370226657519,submodel 2% TOC
2012-01-01,ST_DI,submodel,28.195482314411326,submodel 2% TOC
2012-01-01,ST_DT,submodel,45.24138825183475,submodel 2% TOC
2014-01-01,LD_DI,submodel,6.919287453507248,submodel 2% TOC
2014-01-01,LD_DT,submodel,19.90789329816865,submodel 2% TOC
2014-01-01,ST_DI,submodel,28.78605008686744,submodel 2% TOC
2014-01-01,ST_DT,submodel,45.18314914587486,submodel 2% TOC
2016-01-01,LD_DI,submodel,5.469139191065796,submodel 2% TOC
2016-01-01,LD_DT,submodel,18.679305162281185,submodel 2% TOC
2016-01-01,ST_DI,submodel,25.40308381279621,submodel 2% TOC
2016-01-01,ST_DT,submodel,48.5874083463093,submodel 2% TOC
2018-01-01,LD_DI,submodel,5.856429622044385,submodel 2% TOC
2018-01-01,LD_DT,submodel,19.35717274587741,submodel 2% TOC
2018-01-01,ST_DI,submodel,25.394092283154198,submodel 2% TOC
2018-01-01,ST_DT,submodel,45.55618260063432,submodel 2% TOC
2020-01-01,LD_DI,submodel,6.70731454360636,submodel 2% TOC
2020-01-01,LD_DT,submodel,19.133739819903514,submodel 2% TOC
2020-01-01,ST_DI,submodel,28.106881679370286,submodel 2% TOC
2020-01-01,ST_DT,submodel,45.566838590654655,submodel 2% TOC
2022-01-01,LD_DI,submodel,5.7198371435344955,submodel 2% TOC
2022-01-01,LD_DT,submodel,17.46854178954188,submodel 2% TOC
2022-01-01,ST_DI,submodel,23.9763070112638,submodel 2% TOC
2022-01-01,ST_DT,submodel,44.281129699192185,submodel 2% TOC
2024-01-01,LD_DI,submodel,5.231223601813925,submodel 2% TOC
2024-01-01,LD_DT,submodel,16.044494244182644,submodel 2% TOC
2024-01-01,ST_DI,submodel,22.868177333137748,submodel 2% TOC
2024-01-01,ST_DT,submodel,42.144477694486085,submodel 2% TOC
2026-01-01,LD_DI,submodel,7.045532322149349,submodel 2% TOC
2026-01-01,LD_DT,submodel,19.652500645505505,submodel 2% TOC
2026-01-01,ST_DI,submodel,27.905424251075107,submodel 2% TOC
2026-01-01,ST_DT,submodel,46.753113440639076,submodel 2% TOC
2028-01-01,LD_DI,submodel,6.224240578430407,submodel 2% TOC
2028-01-01,LD_DT,submodel,18.40931591437369,submodel 2% TOC
2028-01-01,ST_DI,submodel,25.72722604207172,submodel 2% TOC
2028-01-01,ST_DT,submodel,46.660178335228046,submodel 2% TOC
2030-01-01,LD_DI,submodel,5.745947443426185,submodel 2% TOC
2030-01-01,LD_DT,submodel,18.844879200578884,submodel 2% TOC
2030-01-01,ST_DI,submodel,24.431163097265117,submodel 2% TOC
2030-01-01,ST_DT,submodel,49.90374998586756,submodel 2% TOC
2032-01-01,LD_DI,submodel,5.824778755894449,submodel 2% TOC
2032-01-01,LD_DT,submodel,17.64789972053234,submodel 2% TOC
2032-01-01,ST_DI,submodel,24.6368335867757,submodel 2% TOC
2032-01-01,ST_DT,submodel,46.96906955774452,submodel 2% TOC
2034-01-01,LD_DI,submodel,6.827351408250016,submodel 2% TOC
2034-01-01,LD_DT,submodel,17.852237862868783,submodel 2% TOC
2034-01-01,ST_DI,submodel,27.20079889752353,submodel 2% TOC
2034-01-01,ST_DT,submodel,46.76609852320737,submodel 2% TOC
2006-01-01,LD_DI,ED2,29.751556193875988,ED2 2% TOC
2006-01-01,LD_DT,ED2,51.0379699254909,ED2 2% TOC
2006-01-01,ST_DI,ED2,28.079461189306098,ED2 2% TOC
2006-01-01,ST_DT,ED2,32.83674223923778,ED2 2% TOC
2008-01-01,LD_DI,ED2,23.395281707734537,ED2 2% TOC
2008-01-01,LD_DT,ED2,42.45283548859746,ED2 2% TOC
2008-01-01,ST_DI,ED2,23.048073305958265,ED2 2% TOC
2008-01-01,ST_DT,ED2,29.54618337716327,ED2 2% TOC
2010-01-01,LD_DI,ED2,24.755797888655614,ED2 2% TOC
2010-01-01,LD_DT,ED2,45.09462590743098,ED2 2% TOC
2010-01-01,ST_DI,ED2,24.23390688661886,ED2 2% TOC
2010-01-01,ST_DT,ED2,30.279714983848127,ED2 2% TOC
2012-01-01,LD_DI,ED2,29.252286160492805,ED2 2% TOC
2012-01-01,LD_DT,ED2,52.15672374073684,ED2 2% TOC
2012-01-01,ST_DI,ED2,28.329719855105708,ED2 2% TOC
2012-01-01,ST_DT,ED2,33.08335530568614,ED2 2% TOC
2014-01-01,LD_DI,ED2,26.959810099832957,ED2 2% TOC
2014-01-01,LD_DT,ED2,51.98691567620831,ED2 2% TOC
2014-01-01,ST_DI,ED2,28.194839673841713,ED2 2% TOC
2014-01-01,ST_DT,ED2,33.31091749365298,ED2 2% TOC
2016-01-01,LD_DI,ED2,23.43009254935158,ED2 2% TOC
2016-01-01,LD_DT,ED2,46.93558324694057,ED2 2% TOC
2016-01-01,ST_DI,ED2,23.51130397294575,ED2 2% TOC
2016-01-01,ST_DT,ED2,29.923131323740407,ED2 2% TOC
2018-01-01,LD_DI,ED2,23.516228099156418,ED2 2% TOC
2018-01-01,LD_DT,ED2,48.547921032578984,ED2 2% TOC
2018-01-01,ST_DI,ED2,23.75267092588082,ED2 2% TOC
2018-01-01,ST_DT,ED2,31.546861956967685,ED2 2% TOC
2020-01-01,LD_DI,ED2,27.00466430133453,ED2 2% TOC
2020-01-01,LD_DT,ED2,54.25449260372157,ED2 2% TOC
2020-01-01,ST_DI,ED2,26.87248375068525,ED2 2% TOC
2020-01-01,ST_DT,ED2,34.13940029296905,ED2 2% TOC
2022-01-01,LD_DI,ED2,21.60880646266734,ED2 2% TOC
2022-01-01,LD_DT,ED2,43.88100447983046,ED2 2% TOC
2022-01-01,ST_DI,ED2,21.831610714865935,ED2 2% TOC
2022-01-01,ST_DT,ED2,30.241626824102656,ED2 2% TOC
2024-01-01,LD_DI,ED2,23.347852554611595,ED2 2% TOC
2024-01-01,LD_DT,ED2,48.65675644981435,ED2 2% TOC
2024-01-01,ST_DI,ED2,24.11765500566533,ED2 2% TOC
2024-01-01,ST_DT,ED2,32.28305961261836,ED2 2% TOC
2026-01-01,LD_DI,ED2,28.211103340494844,ED2 2% TOC
2026-01-01,LD_DT,ED2,55.23832768119718,ED2 2% TOC
2026-01-01,ST_DI,ED2,26.35121764663581,ED2 2% TOC
2026-01-01,ST_DT,ED2,34.90175090324701,ED2 2% TOC
2028-01-01,LD_DI,ED2,27.05757079420234,ED2 2% TOC
2028-01-01,LD_DT,ED2,54.43229021261739,ED2 2% TOC
2028-01-01,ST_DI,ED2,26.087469064398736,ED2 2% TOC
2028-01-01,ST_DT,ED2,34.66638019808753,ED2 2% TOC
2030-01-01,LD_DI,ED2,23.393039243708014,ED2 2% TOC
2030-01-01,LD_DT,ED2,49.157440809682285,ED2 2% TOC
2030-01-01,ST_DI,ED2,21.86421570207633,ED2 2% TOC
2030-01-01,ST_DT,ED2,31.852488905948498,ED2 2% TOC
2032-01-01,LD_DI,ED2,23.881197737137065,ED2 2% TOC
2032-01-01,LD_DT,ED2,50.4600810411064,ED2 2% TOC
2032-01-01,ST_DI,ED2,22.569557895642888,ED2 2% TOC
2032-01-01,ST_DT,ED2,32.847118453276174,ED2 2% TOC
2034-01-01,LD_DI,ED2,27.692429784057314,ED2 2% TOC
2034-01-01,LD_DT,ED2,54.36140314619322,ED2 2% TOC
2034-01-01,ST_DI,ED2,24.91319623959831,ED2 2% TOC
2034-01-01,ST_DT,ED2,35.41160027563949,ED2 2% TOC
