sp,dmax,Latin,pft,ba,total_ba_per_pft,ba_fraction,Ruger_PFT_1axis,PFT_2axes,wd,LLP
jac1co,1210.33333333333,Jacaranda copaia,LD_DI,44.6883605135017,391.681517765732,0.114093615569143,1,2,0.351,FALSE
ocotwh,1372.33333333333,Ocotea whitei,LD_DI,23.0536660303756,391.681517765732,0.058858192140085,1,2,0.526,FALSE
poular,1392,Poulsenia armata,LD_DI,22.46054053505,391.681517765732,0.057343886592279,1,2,0.35,FALSE
cecrin,696.5,Cecropia insignis,LD_DI,21.3139737131861,391.681517765732,0.054416592936954,1,2,0.318,FALSE
cordbi,604,Cordia bicolor,LD_DI,17.9458735106966,391.681517765732,0.045817514221925,1,2,0.475,FALSE
simaam,758.166666666667,Simarouba amara,LD_DI,14.8618104749679,391.681517765732,0.037943609286811,1,2,0.385,FALSE
tachve,1256.5,Tachigali versicolor,LD_DI,14.5153339726313,391.681517765732,0.037059021971297,1,2,0.557,FALSE
guatdu,967.833333333333,Guatteria dumetorum,LD_DI,12.587512399018,391.681517765732,0.032137110964084,1,2,0.466,FALSE
pla2el,1584.66666666667,Platypodium elegans,LD_DI,11.3843793868588,391.681517765732,0.029065398469141,1,2,0.806,FALSE
tab1ro,991.5,Tabebuia rosea,LD_DI,6.53879873249157,391.681517765732,0.016694172269835,2,5,0.53,FALSE
sponmo,1032.5,Spondias mombin,LD_DI,6.42741465829778,391.681517765732,0.016409798182364,1,2,0.391,FALSE
calolo,1099.83333333333,Calophyllum longifolium,LD_DI,6.11454028766321,391.681517765732,0.015611000290599,2,5,0.542,FALSE
socrex,216,Socratea exorrhiza,LD_DI,4.16512023439567,391.681517765732,0.010633946319844,NA,NA,NA,FALSE
unonpi,306.666666666667,Unonopsis pittieri,LD_DI,4.15141902449094,391.681517765732,0.010598965833701,2,5,0.368,FALSE
cecrob,356.166666666667,Cecropia obtusifolia,LD_DI,4.09643047653471,391.681517765732,0.010458574864349,1,2,0.307,FALSE
zantp1,550.166666666667,Zanthoxylum panamense,LD_DI,3.78838320790602,391.681517765732,0.009672101021044,1,2,0.49,FALSE
hassfl,352.666666666667,Hasseltia floribunda,LD_DI,3.52210674786265,391.681517765732,0.008992272006996,1,2,0.53,FALSE
protco,259.5,Protium costaricense,LD_DI,2.98149635697472,391.681517765732,0.007612042493049,2,5,0.576,FALSE
ocotpu,653,Ocotea puberula,LD_DI,2.78141974815834,391.681517765732,0.007101227967111,1,2,0.432,FALSE
crotbi,251.666666666667,Croton billbergianus,LD_DI,2.2586797963778,391.681517765732,0.005766623376211,1,2,0.516,FALSE
micoar,441.5,Miconia argentea,LD_DI,1.91460123122948,391.681517765732,0.004888158221381,1,2,0.589,FALSE
turpoc,592.166666666667,Turpinia occidentalis,LD_DI,1.90511975361597,391.681517765732,0.004863951111309,1,2,0.355,FALSE
ingago,493.5,Inga goldmanii,LD_DI,1.62398694798427,391.681517765732,0.004146192440348,2,5,0.581,FALSE
ficuob,2158.83333333333,Ficus obtusifolia,LD_DI,1.46273035078461,391.681517765732,0.003734489079619,NA,NA,NA,FALSE
laciag,231.833333333333,Lacistema aggregatum,LD_DI,1.34887224784183,391.681517765732,0.003443798562506,2,4,0.505,FALSE
sch1zo,491.5,Attalea butyracea,LD_DI,1.26481776870587,391.681517765732,0.003229199518836,NA,NA,NA,FALSE
ochrpy,606,Ochroma pyramidale,LD_DI,0.791232142685077,391.681517765732,0.002020090575625,1,2,0.158,FALSE
vochfe,666,Vochysia ferruginea,LD_DI,0.764281994777012,391.681517765732,0.001951284296325,1,2,0.41,FALSE
zuelgu,426.833333333333,Zuelania guidonia,LD_DI,0.384211999801884,391.681517765732,0.00098092961341,1,2,0.602,FALSE
tremmi,640.166666666667,Trema micrantha,LD_DI,0.269852598767239,391.681517765732,0.000688959234805,1,2,0.319,FALSE
annosp,334.333333333333,Annona spraguei,LD_DI,0.249180919106618,391.681517765732,0.000636182479398,1,2,0.559,FALSE
cedrod,304.666666666667,Cedrela odorata,LD_DI,0.179604852005728,391.681517765732,0.000458548192496,1,2,0.446,FALSE
ingaru,225.5,Inga ruiziana,LD_DI,0.119353817298857,391.681517765732,0.000304721596208,1,2,0.581,FALSE
tri4ga,404.333333333333,Trichospermum galeottii,LD_DI,0.050201079808038,391.681517765732,0.000128168109883,1,2,0.27,FALSE
ingami,293.333333333333,Inga oerstediana,LD_DI,0.023188095376146,391.681517765732,5.92014029878614E-05,1,2,0.425,FALSE
ceibpe,2903.16666666667,Ceiba pentandra,LD_DT,86.3947587516456,334.726714184617,0.258105359060153,1,2,0.305,FALSE
apeime,1263.83333333333,Apeiba membranacea,LD_DT,32.9398199167539,334.726714184617,0.098408099864375,1,2,0.278,FALSE
poutre,937.333333333333,Pouteria reticulata,LD_DT,22.7630357826541,334.726714184617,0.06800483743314,3,1,0.794,FALSE
zantbe,846.166666666667,Zanthoxylum ekmanii,LD_DT,15.571634535773,334.726714184617,0.046520441530055,1,2,0.609,FALSE
alchco,879.166666666667,Alchornea costaricensis,LD_DT,11.9754900991348,334.726714184617,0.035776917681359,1,2,0.301,FALSE
sponra,902.666666666667,Spondias radlkoferi,LD_DT,7.35835554522189,334.726714184617,0.021983173835248,1,2,0.431,FALSE
ingama,652.833333333333,Inga marginata,LD_DT,6.86191601460119,334.726714184617,0.020500054891993,1,2,0.552,FALSE
eugeoe,367.666666666667,Eugenia oerstediana,LD_DT,5.81163912360989,334.726714184617,0.017362340313252,2,4,0.726,FALSE
loncla,613,Lonchocarpus heptaphyllus,LD_DT,4.93687919494123,334.726714184617,0.014748984726144,2,5,0.687,FALSE
cordal,620.666666666667,Cordia alliodora,LD_DT,4.69324429941582,334.726714184617,0.014021122606985,1,2,0.517,FALSE
pse1se,1448,Pseudobombax septenatum,LD_DT,4.67197170332379,334.726714184617,0.013957570475678,1,2,0.212,FALSE
tratas,779,Trattinnickia aspera,LD_DT,4.28086374047841,334.726714184617,0.01278913083142,1,2,0.424,FALSE
ocotob,638.5,Ocotea oblonga,LD_DT,3.82140125132046,334.726714184617,0.011416481234936,1,2,0.386,FALSE
casear,704.666666666667,Casearia arborea,LD_DT,3.42602235565379,334.726714184617,0.010235282128585,1,2,0.574,FALSE
tremin,514.833333333333,Trema integerrima,LD_DT,2.9213572414198,334.726714184617,0.00872758915743,NA,NA,NA,FALSE
tri2pa,379.166666666667,Trichilia pallida,LD_DT,2.82692775154852,334.726714184617,0.008445479944542,2,5,0.698,FALSE
pterro,836,Pterocarpus rohrii,LD_DT,2.41557801263288,334.726714184617,0.007216567755929,2,5,0.58,FALSE
ade1tr,548,Adelia triloba,LD_DT,1.95188513750165,334.726714184617,0.005831279831538,2,5,0.604,FALSE
ingasa,300.833333333333,Inga sapindoides,LD_DT,1.88507252374168,334.726714184617,0.005631676361218,1,2,0.581,FALSE
sapiau,891.666666666667,Sapium glandulosum,LD_DT,1.51004344265082,334.726714184617,0.004511272565529,1,2,0.415,FALSE
hampap,402,Hampea appendiculata,LD_DT,1.17434051626338,334.726714184617,0.003508356120079,1,2,0.245,FALSE
guarsp,305.833333333333,Guarea bullata,LD_DT,1.16403272447235,334.726714184617,0.00347756147073,3,4,0.561,FALSE
