year,pft,model,R,facet_var
2006-01-01,LD_DI,submodel,12.772411780867904,submodel 2% TOC
2006-01-01,LD_DT,submodel,28.977863835845085,submodel 2% TOC
2006-01-01,ST_DI,submodel,40.48034836615664,submodel 2% TOC
2006-01-01,ST_DT,submodel,75.20271040442474,submodel 2% TOC
2008-01-01,LD_DI,submodel,11.981040745086165,submodel 2% TOC
2008-01-01,LD_DT,submodel,27.607696571312555,submodel 2% TOC
2008-01-01,ST_DI,submodel,45.13182103179803,submodel 2% TOC
2008-01-01,ST_DT,submodel,74.03962817488967,submodel 2% TOC
2010-01-01,LD_DI,submodel,10.631995007843566,submodel 2% TOC
2010-01-01,LD_DT,submodel,24.78152063352384,submodel 2% TOC
2010-01-01,ST_DI,submodel,43.77124259954792,submodel 2% TOC
2010-01-01,ST_DT,submodel,75.01285818848473,submodel 2% TOC
2012-01-01,LD_DI,submodel,12.518828841757946,submodel 2% TOC
2012-01-01,LD_DT,submodel,28.013892252014863,submodel 2% TOC
2012-01-01,ST_DI,submodel,43.8255166929288,submodel 2% TOC
2012-01-01,ST_DT,submodel,75.85603550230147,submodel 2% TOC
2014-01-01,LD_DI,submodel,12.649671650364697,submodel 2% TOC
2014-01-01,LD_DT,submodel,26.95991539692582,submodel 2% TOC
2014-01-01,ST_DI,submodel,44.72450015778405,submodel 2% TOC
2014-01-01,ST_DT,submodel,76.65191163622059,submodel 2% TOC
2016-01-01,LD_DI,submodel,14.267682244416003,submodel 2% TOC
2016-01-01,LD_DT,submodel,28.33015678792175,submodel 2% TOC
2016-01-01,ST_DI,submodel,43.61670940633512,submodel 2% TOC
2016-01-01,ST_DT,submodel,75.65197815765569,submodel 2% TOC
2018-01-01,LD_DI,submodel,11.965513248519402,submodel 2% TOC
2018-01-01,LD_DT,submodel,23.106492981292988,submodel 2% TOC
2018-01-01,ST_DI,submodel,42.03046515404489,submodel 2% TOC
2018-01-01,ST_DT,submodel,73.81559298522605,submodel 2% TOC
2020-01-01,LD_DI,submodel,15.18120932107356,submodel 2% TOC
2020-01-01,LD_DT,submodel,27.827909590358093,submodel 2% TOC
2020-01-01,ST_DI,submodel,45.563616280631656,submodel 2% TOC
2020-01-01,ST_DT,submodel,75.8307690493141,submodel 2% TOC
2022-01-01,LD_DI,submodel,14.581846985271174,submodel 2% TOC
2022-01-01,LD_DT,submodel,25.295520057598328,submodel 2% TOC
2022-01-01,ST_DI,submodel,46.20664078985355,submodel 2% TOC
2022-01-01,ST_DT,submodel,75.73112164776926,submodel 2% TOC
2024-01-01,LD_DI,submodel,15.925970515226513,submodel 2% TOC
2024-01-01,LD_DT,submodel,25.789898002575814,submodel 2% TOC
2024-01-01,ST_DI,submodel,47.63873522676916,submodel 2% TOC
2024-01-01,ST_DT,submodel,76.01853414111345,submodel 2% TOC
2026-01-01,LD_DI,submodel,15.33826822065758,submodel 2% TOC
2026-01-01,LD_DT,submodel,22.81514234113457,submodel 2% TOC
2026-01-01,ST_DI,submodel,47.88678214764453,submodel 2% TOC
2026-01-01,ST_DT,submodel,77.39905978967484,submodel 2% TOC
2028-01-01,LD_DI,submodel,16.007346130345447,submodel 2% TOC
2028-01-01,LD_DT,submodel,22.257573754313228,submodel 2% TOC
2028-01-01,ST_DI,submodel,47.164301155307164,submodel 2% TOC
2028-01-01,ST_DT,submodel,75.7727039017316,submodel 2% TOC
2030-01-01,LD_DI,submodel,15.776842389273611,submodel 2% TOC
2030-01-01,LD_DT,submodel,20.001356832428602,submodel 2% TOC
