"","sp","Latin","wsg"
"1","ade1tr","Adelia triloba",0.6045
"2","aegipa","Aegiphila panamensis",0.656667
"3","alchco","Alchornea costaricensis",0.301
"4","alchla","Alchornea latifolia",0.420263
"5","allops","Allophylus psilospermus",0.513308
"6","alsebl","Alseis blackiana",0.536
"7","amaico","Amaioua corymbosa",0.625
"8","anacex","Anacardium excelsum",0.391286
"9","andiin","Andira inermis",0.641952
"10","annosp","Annona spraguei",0.559
"11","apeihy","Apeiba hybrid",0.278333
"12","apeime","Apeiba membranacea",0.278333
"13","apeiti","Apeiba tibourbou",0.2
"14","aspicr","Aspidosperma spruceanum",0.753333
"15","ast1st","Astrocaryum standleyanum",0.508
"16","ast2gr","Astronium graveolens",0.868143
"17","beilpe","Beilschmiedia pendula",0.507
"18","brosal","Brosimum alicastrum",0.60775
"19","calolo","Calophyllum longifolium",0.542
"20","caseac","Casearia aculeata",0.66
"21","casear","Casearia arborea",0.573826
"22","casesy","Casearia sylvestris",0.703346
"23","cassel","Cassipourea elliptica",0.637409
"24","cavapl","Cavanillesia platanifolia",0.36
"25","cecrin","Cecropia insignis",0.3175
"26","cecrob","Cecropia obtusifolia",0.307333
"27","cedrod","Cedrela odorata",0.445867
"28","ceibpe","Ceiba pentandra",0.305149
"29","celtsc","Celtis schippii",0.616
"30","cespma","Cespedesia spathulata",0.61325
"31","chimpa","Chimarrhis parviflora",0.7115
"32","chr2ar","Chrysophyllum argenteum",0.764833
"33","chr2ca","Chrysophyllum cainito",0.655
"34","coccco","Coccoloba coronata",0.671864
"35","colugl","Colubrina glandulosa",0.738667
"36","cordal","Cordia alliodora",0.517429
"37","cordbi","Cordia bicolor",0.475
"38","cordla","Cordia lasiocalyx",0.397
"39","cou2cu","Coussarea curvigemmia",0.6182
"40","crotbi","Croton billbergianus",0.517382
"41","cupaci","Cupania cinerea",0.5
"42","cupala","Cupania latifolia",0.608708
"43","cuparu","Cupania rufescens",0.608708
"44","cupasy","Cupania seemannii",0.608708
"45","dendar","Dendropanax arboreus",0.420594
"46","dio2ar","Diospyros artanthifolia",0.697332
"47","diptpa","Dipteryx oleifera",0.848333
"48","drypst","Drypetes standleyi",0.675
"49","elaeol","Elaeis oleifera",0.568511
"50","entesc","Enterolobium schomburgkii",0.698917
"51","ery2ma","Erythroxylum macrophyllum",0.71
"52","eugeco","Eugenia coloradoensis",0.724176
"53","eugega","Eugenia galalonensis",0.724176
"54","eugene","Eugenia nesiotica",0.724176
"55","eugeoe","Eugenia oerstediana",0.724176
"56","faraoc","Faramea occidentalis",0.587889
"57","ficubu","Ficus bullenei",0.41114
"58","ficuc2","Ficus costaricana",0.41114
"59","ficuin","Ficus insipida",0.376556
"60","ficuma","Ficus maxima",0.3605
"61","ficuob","Ficus obtusifolia",0.41114
"62","ficupo","Ficus popenoei",0.41114
"63","ficuto","Ficus tonduzii",0.41114
"64","ficutr","Ficus aurea",0.44
"65","ficuyo","Ficus yoponensis",0.41114
"66","gar2in","Garcinia intermedia",0.6625
"67","gar2ma","Garcinia madruno",0.726667
"68","geniam","Genipa americana",0.632074
"69","guapst","Guapira standleyana",0.5994
"70","guargr","Guarea grandifolia",0.545
"71","guargu","Guarea guidonia",0.567514
"72","guarsp","Guarea bullata",0.560551
"73","guatdu","Guatteria dumetorum",0.466
"74","guazul","Guazuma ulmifolia",0.522209
"75","guetfo","Guettarda foliacea",0.725165
"76","gustsu","Gustavia superba",0.58
"77","hampap","Hampea appendiculata",0.245
"78","hassfl","Hasseltia floribunda",0.53
"79","heisco","Heisteria concinna",0.64
"80","hirtam","Hirtella americana",0.781668
"81","hirttr","Hirtella triandra",0.68275
"82","huracr","Hura crepitans",0.367333
"83","hyeral","Hieronyma alchorneoides",0.509083
"84","ingaco","Inga cocleensis",0.580505
"85","ingafa","Inga laurina",0.653333
"86","ingago","Inga goldmanii",0.580505
"87","ingama","Inga marginata",0.5518
"88","ingami","Inga oerstediana",0.425
"89","ingape","Inga pezizifera",0.6065
"90","ingapu","Inga punctata",0.56
"91","ingaqu","Inga nobilis",0.56
"92","ingaru","Inga ruiziana",0.580505
"93","ingas1","Inga acuminata",0.580505
"94","ingasa","Inga sapindoides",0.580505
"95","ingasp","Inga spectabilis",0.580505
"96","ingath","Inga thibaudiana",0.580505
"97","jac1co","Jacaranda copaia",0.350667
"98","laciag","Lacistema aggregatum",0.5055
"99","lacmpa","Lacmellea panamensis",0.4715
"100","laetpr","Laetia procera",0.647255
"101","laetth","Laetia thamnia",0.66
"102","lafopu","Lafoensia punicifolia",0.705
"103","licahy","Licania hypoleuca",0.9088
"104","licapl","Licania platypus",0.62
"105","lindla","Lindackeria laurina",0.56
"106","loncla","Lonchocarpus heptaphyllus",0.68675
"107","luehse","Luehea seemannii",0.417
"108","maclti","Maclura tinctoria",0.791562
"109","macrgl","Macrocnemum roseum",0.45
"110","maquco","Maquira guianensis",0.766
"111","mar1la","Marila laxiflora",0.655327
"112","maytsc","Maytenus schippii",0.709996
"113","micoar","Miconia argentea",0.589
"114","micoho","Miconia hondurensis",0.618877
"115","myrcga","Myrcia gatunensis",0.814458
"116","myrofr","Myrospermum frutescens",0.83
"117","nectci","Nectandra cissiflora",0.59
"118","nectgl","Nectandra lineata",0.57169
"119","nectpu","Nectandra purpurea",0.431
"120","nects1","Nectandra fuzzy",0.57169
"121","ochrpy","Ochroma pyramidale",0.158128
"122","ocotce","Ocotea cernua",0.4535
"123","ocotob","Ocotea oblonga",0.3855
"124","ocotpu","Ocotea puberula",0.4325
"125","ocotwh","Ocotea whitei",0.525773
"126","oenoma","Oenocarpus mapora",0.713
"127","ormocr","Ormosia coccinea",0.625
"128","ormoma","Ormosia macrocalyx",0.588616
"129","perexa","Perebea xanthochyma",0.56
"130","phoeci","Cinnamomum triplinerve",0.474415
"132","pit1ma","Abarema macradenia",0.438
"133","pla1pi","Platymiscium pinnatum",0.72125
"134","pla2el","Platypodium elegans",0.80575
"135","pochqu","Pachira quinata",0.415
"136","pochse","Pachira sessilis",0.42
"137","posola","Posoqueria latifolia",0.569667
"138","poular","Poulsenia armata",0.350429
"139","pourbi","Pourouma bicolor",0.353167
"140","poutfo","Pouteria fossicola",0.714372
"141","poutre","Pouteria reticulata",0.794
"142","poutst","Pouteria stipitata",0.714372
"143","pri2co","Prioria copaifera",0.413571
"144","protco","Protium costaricense",0.575724
"145","protpa","Protium panamense",0.452333
"146","protte","Protium tenuifolium",0.56975
"147","pse1se","Pseudobombax septenatum",0.211667
"148","psidfr","Psidium friedrichsthalianum",0.810091
"149","pterof","Pterocarpus officinalis",0.379868
"150","pterro","Pterocarpus rohrii",0.449286
"151","quaras","Quararibea asterolepis",0.454
"152","randar","Randia armata",0.668
"153","sapiau","Sapium glandulosum",0.41525
"154","sapisp","Sapium broadleaf",0.412806
"155","sch1zo","Attalea butyracea",0.326
"156","sch2mo","Schefflera morototoni",0.453891
"157","schipa","Schizolobium parahyba",0.3465
"158","simaam","Simarouba amara",0.384643
"159","sipagu","Siparuna guianensis",0.6562
"160","sipapa","Siparuna pauciflora",0.6562
"161","sloate","Sloanea terniflora",0.624723
"162","socrex","Socratea exorrhiza",0.23
"163","solaha","Solanum hayesii",0.421683
"164","sponmo","Spondias mombin",0.390706
"165","sponra","Spondias radlkoferi",0.430667
"166","sterap","Sterculia apetala",0.388091
"167","swars1","Swartzia simplex",0.844349
"168","sympgl","Symphonia globulifera",0.6004
"169","tab1gu","Tabebuia guayacan",0.835
"170","tab1ro","Tabebuia rosea",0.5305
"171","tab2ar","Tabernaemontana arborea",0.524667
"172","tachve","Tachigali versicolor",0.521
"173","termam","Terminalia amazonia",0.6735
"174","termob","Terminalia oblonga",0.694167
"175","tet2pa","Tetragastris panamensis",0.717333
