date,NPP,c_repro,seedbank,seedpool,R
2001-01-01,4.1599327700172505e-8,1.0876101526649664e-9,0,0,0
2001-01-02,4.1599327700172505e-8,1.0876101526649664e-9,2.2552684125660748e-5,0,0
2001-01-03,4.1599327700172505e-8,1.0876101526649664e-9,4.5073856281721256e-5,0,0
2001-01-04,4.1599327700172505e-8,1.0876101526649664e-9,6.75635604986048e-5,0,0
2001-01-05,4.1599327700172505e-8,1.0876101526649664e-9,9.00218407452127e-5,0,0
2001-01-06,4.1599327700172505e-8,1.0876101526649664e-9,1.1244874092901028e-4,0,0
2001-01-07,4.1599327700172505e-8,1.0876101526649664e-9,1.3484430489611268e-4,0,0
2001-01-08,4.1599327700172505e-8,1.0876101526649664e-9,1.5720857643137064e-4,0,0
2001-01-09,4.1599327700172505e-8,1.0876101526649664e-9,1.7954159925845603e-4,0,0
2001-01-10,4.1599327700172505e-8,1.0876101526649664e-9,2.0184341703994744e-4,0,0
2001-01-11,4.1599327700172505e-8,1.0876101526649664e-9,2.241140733774154e-4,0,0
2001-01-12,4.1599327700172505e-8,1.0876101526649664e-9,2.463536118115077e-4,0,0
2001-01-13,4.1599327700172505e-8,1.0876101526649664e-9,2.685620758220345e-4,0,0
2001-01-14,4.1599327700172505e-8,1.0876101526649664e-9,2.907395088280535e-4,0,0
2001-01-15,4.1599327700172505e-8,1.0876101526649664e-9,3.128859541879545e-4,0,0
2001-01-16,4.1599327700172505e-8,1.0876101526649664e-9,3.3500145519954437e-4,0,0
2001-01-17,4.1599327700172505e-8,1.0876101526649664e-9,3.570860551001318e-4,0,0
2001-01-18,4.1599327700172505e-8,1.0876101526649664e-9,3.791397970666115e-4,0,0
2001-01-19,4.1599327700172505e-8,1.0876101526649664e-9,4.0116272421554907e-4,0,0
2001-01-20,4.1599327700172505e-8,1.0876101526649664e-9,4.231548796032648e-4,0,0
2001-01-21,4.1599327700172505e-8,1.0876101526649664e-9,4.451163062259182e-4,0,0
2001-01-22,4.1599327700172505e-8,1.0876101526649664e-9,4.6704704701959216e-4,0,0
2001-01-23,4.1599327700172505e-8,1.0876101526649664e-9,4.889471448603762e-4,0,0
2001-01-24,4.1599327700172505e-8,1.0876101526649664e-9,5.108166425644512e-4,0,0
2001-01-25,4.1599327700172505e-8,1.0876101526649664e-9,5.326555828881726e-4,0,0
